Year,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb
2022,Tyler Boyd,CIN,28,WR,16,14,82,58,0.707,762,13.1,5,42,62.2,60,9.3,3.6,47.6,0
2022,Tyler Conklin,NYJ,27,TE,17,16,87,58,0.667,552,9.5,3,25,44.8,30,6.3,3.4,32.5,2
2022,Gerald Everett,LAC,28,TE,16,11,87,58,0.667,555,9.6,4,29,48.3,26,6.4,3.6,34.7,0
2022,David Njoku,CLE,26,TE,14,14,80,58,0.725,628,10.8,4,36,61.3,38,7.9,4.1,44.9,1
2022,Saquon Barkley,NYG,25,RB,16,16,76,57,0.75,338,5.9,0,10,38.2,41,4.4,3.6,21.1,1
2022,Brandin Cooks,HOU,29,WR,13,13,93,57,0.613,699,12.3,3,29,47.3,44,7.5,4.4,53.8,0
2022,Mack Hollins,LVR,29,WR,17,16,94,57,0.606,690,12.1,4,34,51.1,60,7.3,3.4,40.6,0
2022,Richie James,NYG,27,WR,17,4,70,57,0.814,569,10,4,29,61.4,33,8.1,3.4,33.5,3
2022,Alvin Kamara,NOR,27,RB,15,13,77,57,0.74,490,8.6,2,17,46.8,54,6.4,3.8,32.7,4
2022,Dalton Schultz,DAL,26,TE,15,15,89,57,0.64,577,10.1,5,27,55.1,30,6.5,3.8,38.5,1
2022,Jerick McKinnon,KAN,30,RB,17,0,71,56,0.789,512,9.1,9,28,54.9,56,7.2,3.3,30.1,1
2022,Deebo Samuel,SFO,26,WR,13,12,94,56,0.596,632,11.3,2,25,47.9,57,6.7,4.3,48.6,3
2022,Dallas Goedert,PHI,27,TE,12,12,69,55,0.797,702,12.8,3,40,69.6,31,10.2,4.6,58.5,1
2022,Josh Jacobs,LVR,24,RB,17,17,64,53,0.828,400,7.5,0,16,50,43,6.3,3.1,23.5,3
2022,Robert Tonyan,GNB,28,TE,17,3,67,53,0.791,470,8.9,2,20,53.7,24,7,3.1,27.6,0
2022,Robert Woods,TEN,30,WR,17,15,91,53,0.582,527,9.9,2,31,50.5,41,5.8,3.1,31,1
2022,Greg Dortch,ARI,24,WR,16,4,64,52,0.813,467,9,2,19,46.9,47,7.3,3.3,29.2,1
2022,Hayden Hurst,CIN,29,TE,13,13,68,52,0.765,414,8,2,26,61.8,29,6.1,4,31.8,0
2022,George Pickens,PIT,21,WR,17,12,84,52,0.619,801,15.4,4,38,48.8,42,9.5,3.1,47.1,0
2022,Russell Gage,TAM,26,WR,13,4,70,51,0.729,426,8.4,5,31,62.9,23,6.1,3.9,32.8,1
2022,Noah Fant,SEA,25,TE,17,16,63,50,0.794,486,9.7,4,24,54,51,7.7,2.9,28.6,0
2022,Cole Kmet,CHI,23,TE,17,17,69,50,0.725,544,10.9,7,27,59.4,50,7.9,2.9,32,1
2022,Rachaad White,TAM,23,RB,17,8,58,50,0.862,290,5.8,2,13,53.4,20,5,2.9,17.1,3
2022,Gabriel Davis,BUF,23,WR,15,15,93,48,0.516,836,17.4,7,35,51.6,98,9,3.2,55.7,1
2022,Dawson Knox,BUF,26,TE,15,15,65,48,0.738,517,10.8,6,25,60,45,8,3.2,34.5,0
2022,Chris Moore,HOU,29,WR,16,7,74,48,0.649,548,11.4,2,24,47.3,52,7.4,3,34.3,0
2022,Demarcus Robinson,BAL,28,WR,17,5,75,48,0.64,458,9.5,2,23,46.7,31,6.1,2.8,26.9,2
2022,D'Andre Swift,DET,23,RB,14,8,70,48,0.686,389,8.1,3,17,38.6,25,5.6,3.4,27.8,1
2022,Zach Ertz,ARI,32,TE,10,10,69,47,0.681,406,8.6,4,24,55.1,32,5.9,4.7,40.6,0
2022,Kalif Raymond,DET,28,WR,17,7,64,47,0.734,616,13.1,0,24,56.3,56,9.6,2.8,36.2,3
2022,DeAndre Carter,LAC,29,WR,17,7,65,46,0.708,538,11.7,3,29,53.8,35,8.3,2.7,31.6,3
2022,Chase Claypool,2TM,24,WR,15,11,79,46,0.582,451,9.8,1,24,46.8,31,5.7,3.1,30.1,1
2022,James Conner,ARI,27,RB,13,13,58,46,0.793,300,6.5,1,13,44.8,22,5.2,3.5,23.1,3
2022,Antonio Gibson,WAS,24,RB,15,6,58,46,0.793,353,7.7,2,18,46.6,26,6.1,3.1,23.5,1
2022,Marvin Jones,JAX,32,WR,16,10,81,46,0.568,529,11.5,3,29,51.9,37,6.5,2.9,33.1,0
2022,Darius Slayton,NYG,25,WR,16,11,71,46,0.648,724,15.7,2,30,57.7,55,10.2,2.9,45.3,2
2022,Noah Brown,DAL,26,WR,16,13,74,43,0.581,555,12.9,3,25,48.6,51,7.5,2.7,34.7,1
